UDG98472.1	9	9	2952	98.805	100	3.41e-178	488
UDH01064.1	2	2	213	48.718	95	3.77e-34	112
UDH01341.1	0	9	2223	74.545	96	1.84e-103	297
UDG95705.1	0	6	570.8	35.263	79	1.23e-25	98.2
UDG99216.1	0	5	333.5	35.714	84	1.38e-14	68.6
UDG99880.1	0	4	329.6	34.921	82	2.77e-23	92.0
UDG96908.1	0	4	313.5	34.500	87	2.56e-20	83.6
UDH01085.1	0	2	174.5	32.979	78	9.49e-25	96.3
UDG95920.1	0	2	166.3	34.270	79	2.22e-23	92.4
UDG98601.1	0	2	155.6	33.149	77	7.20e-19	80.5
sseqid	votes	hits	sum_bits	max_pident	max_qcovs	best_evalue	best_bits
